onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.021	0.001	47
0.545	0.001	265
2.021	0.001	47
2.162	0.001	265
3.745	0.001	265
4.021	0.001	47
5.33	0.001	1283
5.398	0.001	1285
5.398	0.001	265
5.83	0.001	34053
6.021	0.001	47
8.021	0.001	47
10.021	0.001	47
12.021	0.001	47
12.511	0.001	10
13.639	0.001	768
14.021	0.001	47
14.511	0.001	10
16.021	0.001	47
16.511	0.001	10
18.021	0.001	47
18.511	0.001	10
20.021	0.001	47
20.511	0.001	10
22.021	0.001	47
22.511	0.001	10
24.021	0.001	47
24.511	0.001	10
26.021	0.001	47
26.511	0.001	10
28.021	0.001	47
28.511	0.001	10
30.021	0.001	47
30.511	0.001	10
32.021	0.001	47
32.511	0.001	10
34.021	0.001	47
34.511	0.001	10
36.021	0.001	47
36.511	0.001	10
38.021	0.001	47
38.511	0.001	10
40.021	0.001	47
40.511	0.001	10
42.021	0.001	47
42.511	0.001	10
44.021	0.001	47
44.511	0.001	10
46.021	0.001	47
46.511	0.001	10
48.021	0.001	47
48.511	0.001	10
50.021	0.001	47
50.511	0.001	10
52.021	0.001	47
52.511	0.001	10
54.021	0.001	47
54.511	0.001	10
56.021	0.001	47
56.511	0.001	10
58.021	0.001	47
58.511	0.001	10
60.021	0.001	47
60.511	0.001	10
62.021	0.001	47
62.511	0.001	10
64.021	0.001	47
64.511	0.001	10
66.021	0.001	47
66.511	0.001	10
68.021	0.001	47
68.511	0.001	10
70.021	0.001	47
70.511	0.001	10
72.021	0.001	47
72.511	0.001	10
74.021	0.001	47
74.511	0.001	10
76.021	0.001	47
76.511	0.001	10
78.021	0.001	47
78.511	0.001	10
80.021	0.001	47
80.511	0.001	10
82.021	0.001	47
82.511	0.001	10
84.021	0.001	47
84.511	0.001	10
86.021	0.001	47
86.511	0.001	10
88.021	0.001	47
88.511	0.001	10
90.021	0.001	47
90.511	0.001	10
92.021	0.001	47
92.511	0.001	10
94.021	0.001	47
94.511	0.001	10
96.021	0.001	47
96.511	0.001	10
98.021	0.001	47
98.511	0.001	10
100.021	0.001	47
100.511	0.001	10
102.021	0.001	47
102.511	0.001	10
104.021	0.001	47
104.511	0.001	10
106.021	0.001	47
106.511	0.001	10
108.021	0.001	47
108.511	0.001	10
110.021	0.001	47
110.511	0.001	10
112.021	0.001	47
112.511	0.001	10
114.021	0.001	47
114.511	0.001	10
116.021	0.001	47
116.511	0.001	10
118.021	0.001	47
118.511	0.001	10
120.021	0.001	47
120.511	0.001	10
122.021	0.001	47
122.511	0.001	10
124.021	0.001	47
124.511	0.001	10
126.021	0.001	47
126.511	0.001	10
128.021	0.001	47
128.511	0.001	10
130.021	0.001	47
130.511	0.001	10
132.021	0.001	47
132.511	0.001	10
134.021	0.001	47
134.511	0.001	10
136.021	0.001	47
136.511	0.001	10
138.021	0.001	47
138.511	0.001	10
140.021	0.001	47
140.511	0.001	10
142.021	0.001	47
142.511	0.001	10
144.021	0.001	47
144.511	0.001	10
146.021	0.001	47
146.511	0.001	10
148.021	0.001	47
148.511	0.001	10
150.021	0.001	47
150.511	0.001	10
152.021	0.001	47
152.511	0.001	10
154.021	0.001	47
154.511	0.001	10
156.021	0.001	47
