onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.001	0.001	1283
0.967	0.001	1285
1.361	0.001	47
1.501	0.001	34053
3.361	0.001	47
5.361	0.001	47
7.361	0.001	47
9.361	0.001	47
11.191	0.001	10
11.361	0.001	47
12.362	0.001	768
13.191	0.001	10
13.361	0.001	47
15.191	0.001	10
15.361	0.001	47
17.191	0.001	10
17.361	0.001	47
19.191	0.001	10
19.361	0.001	47
21.191	0.001	10
21.361	0.001	47
23.191	0.001	10
23.361	0.001	47
25.191	0.001	10
25.361	0.001	47
27.191	0.001	10
27.361	0.001	47
29.191	0.001	10
29.361	0.001	47
31.191	0.001	10
31.361	0.001	47
33.191	0.001	10
33.361	0.001	47
35.191	0.001	10
35.361	0.001	47
37.191	0.001	10
37.361	0.001	47
39.191	0.001	10
39.361	0.001	47
41.191	0.001	10
41.361	0.001	47
43.191	0.001	10
43.361	0.001	47
45.191	0.001	10
45.361	0.001	47
47.191	0.001	10
47.361	0.001	47
49.191	0.001	10
49.361	0.001	47
51.191	0.001	10
51.361	0.001	47
53.191	0.001	10
53.361	0.001	47
55.191	0.001	10
55.361	0.001	47
57.191	0.001	10
57.361	0.001	47
59.191	0.001	10
59.361	0.001	47
61.191	0.001	10
61.361	0.001	47
63.191	0.001	10
63.361	0.001	47
65.191	0.001	10
65.361	0.001	47
67.191	0.001	10
67.361	0.001	47
69.191	0.001	10
69.361	0.001	47
71.191	0.001	10
71.361	0.001	47
73.191	0.001	10
73.361	0.001	47
75.191	0.001	10
75.361	0.001	47
77.191	0.001	10
77.361	0.001	47
79.191	0.001	10
79.361	0.001	47
81.191	0.001	10
81.361	0.001	47
83.191	0.001	10
83.361	0.001	47
85.191	0.001	10
85.361	0.001	47
87.191	0.001	10
87.361	0.001	47
89.191	0.001	10
89.361	0.001	47
91.191	0.001	10
91.361	0.001	47
93.191	0.001	10
93.361	0.001	47
95.191	0.001	10
95.361	0.001	47
97.191	0.001	10
97.361	0.001	47
99.191	0.001	10
99.361	0.001	47
101.191	0.001	10
101.361	0.001	47
103.191	0.001	10
103.361	0.001	47
105.191	0.001	10
105.361	0.001	47
107.191	0.001	10
107.361	0.001	47
109.191	0.001	10
109.361	0.001	47
111.191	0.001	10
111.361	0.001	47
113.191	0.001	10
113.361	0.001	47
115.191	0.001	10
115.361	0.001	47
117.191	0.001	10
117.361	0.001	47
119.191	0.001	10
119.361	0.001	47
121.191	0.001	10
121.361	0.001	47
123.191	0.001	10
123.361	0.001	47
125.191	0.001	10
125.361	0.001	47
127.191	0.001	10
127.361	0.001	47
129.191	0.001	10
129.361	0.001	47
131.191	0.001	10
131.361	0.001	47
133.191	0.001	10
133.361	0.001	47
135.191	0.001	10
135.361	0.001	47
137.191	0.001	10
137.361	0.001	47
139.191	0.001	10
139.361	0.001	47
141.191	0.001	10
141.361	0.001	47
143.191	0.001	10
143.361	0.001	47
145.191	0.001	10
145.361	0.001	47
147.191	0.001	10
147.361	0.001	47
149.191	0.001	10
149.361	0.001	47
151.191	0.001	10
151.361	0.001	47
153.191	0.001	10
153.361	0.001	47
155.191	0.001	10
155.361	0.001	47
157.191	0.001	10
157.361	0.001	47
159.191	0.001	10
159.361	0.001	47
