onset	duration	trial_type
0.001	0.001	1
0.021	0.001	47
0.332	0.001	47
2.332	0.001	47
4.332	0.001	47
6.332	0.001	47
8.332	0.001	47
10.332	0.001	47
12.332	0.001	47
14.332	0.001	47
16.332	0.001	47
16.363	0.001	10
16.718	0.001	265
18.136	0.001	768
18.332	0.001	47
18.363	0.001	10
19.205	0.001	265
20.332	0.001	47
20.363	0.001	10
20.88	0.001	265
22.332	0.001	47
22.363	0.001	10
22.502	0.001	265
24.124	0.001	265
24.332	0.001	47
24.363	0.001	10
25.745	0.001	265
26.332	0.001	47
26.363	0.001	10
28.232	0.001	265
28.332	0.001	47
28.363	0.001	10
29.961	0.001	265
30.332	0.001	47
30.363	0.001	10
32.332	0.001	47
32.363	0.001	10
33.313	0.001	265
34.332	0.001	47
34.363	0.001	10
35.799	0.001	265
36.332	0.001	47
36.363	0.001	10
38.332	0.001	47
38.363	0.001	10
39.097	0.001	265
40.332	0.001	47
40.363	0.001	10
41.583	0.001	265
42.332	0.001	47
42.363	0.001	10
44.124	0.001	265
44.332	0.001	47
44.363	0.001	10
45.907	0.001	265
46.332	0.001	47
46.363	0.001	10
47.583	0.001	265
48.332	0.001	47
48.363	0.001	10
50.07	0.001	265
50.332	0.001	47
50.363	0.001	10
52.332	0.001	47
52.363	0.001	10
52.557	0.001	265
54.286	0.001	265
54.332	0.001	47
54.363	0.001	10
56.015	0.001	265
56.332	0.001	47
56.363	0.001	10
57.692	0.001	265
58.332	0.001	47
58.363	0.001	10
59.421	0.001	265
60.332	0.001	47
60.363	0.001	10
61.043	0.001	265
62.332	0.001	47
62.363	0.001	10
62.719	0.001	265
64.332	0.001	47
64.363	0.001	10
65.205	0.001	265
66.332	0.001	47
66.363	0.001	10
66.881	0.001	265
68.332	0.001	47
68.363	0.001	10
68.61	0.001	265
70.332	0.001	47
70.363	0.001	10
71.097	0.001	265
72.332	0.001	47
72.363	0.001	10
73.53	0.001	265
74.332	0.001	47
74.363	0.001	10
76.332	0.001	47
76.363	0.001	10
77.691	0.001	265
78.332	0.001	47
78.363	0.001	10
79.367	0.001	265
80.332	0.001	47
80.363	0.001	10
80.989	0.001	265
82.332	0.001	47
82.363	0.001	10
83.421	0.001	265
84.332	0.001	47
84.363	0.001	10
86.332	0.001	47
86.363	0.001	10
86.611	0.001	265
88.332	0.001	47
88.363	0.001	10
89.151	0.001	265
90.332	0.001	47
90.363	0.001	10
91.637	0.001	265
92.332	0.001	47
92.363	0.001	10
93.175	0.001	1283
93.259	0.001	265
93.259	0.001	1285
93.675	0.001	34053
94.332	0.001	47
94.363	0.001	10
94.881	0.001	265
96.332	0.001	47
96.363	0.001	10
97.367	0.001	265
98.332	0.001	47
98.363	0.001	10
99.097	0.001	265
100.332	0.001	47
100.363	0.001	10
100.827	0.001	265
102.332	0.001	47
102.363	0.001	10
102.556	0.001	265
104.232	0.001	265
104.332	0.001	47
104.363	0.001	10
105.908	0.001	265
106.332	0.001	47
106.363	0.001	10
107.637	0.001	265
108.332	0.001	47
108.363	0.001	10
109.205	0.001	265
110.332	0.001	47
110.363	0.001	10
112.332	0.001	47
112.363	0.001	10
112.503	0.001	265
114.287	0.001	265
114.332	0.001	47
114.363	0.001	10
116.332	0.001	47
116.363	0.001	10
116.989	0.001	265
118.332	0.001	47
