onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.301	0.001	47
2.301	0.001	47
3.249	0.001	265
4.301	0.001	47
4.778	0.001	265
6.232	0.001	265
6.301	0.001	47
8.301	0.001	47
8.61	0.001	265
10.301	0.001	47
10.896	0.001	265
12.301	0.001	47
13.378	0.001	265
14.301	0.001	47
16.301	0.001	47
16.583	0.001	265
18.301	0.001	47
18.861	0.001	265
20.301	0.001	47
21.312	0.001	265
22.301	0.001	47
23.728	0.001	265
24.301	0.001	47
26.301	0.001	47
26.82	0.001	265
28.301	0.001	47
29.098	0.001	265
30.301	0.001	47
32.295	0.001	265
32.301	0.001	47
34.301	0.001	47
36.2	0.001	265
36.301	0.001	47
38.301	0.001	47
39.282	0.001	265
40.301	0.001	47
42.301	0.001	47
43.194	0.001	265
44.301	0.001	47
46.301	0.001	47
48.301	0.001	47
50.301	0.001	47
52.301	0.001	47
52.347	0.001	10
52.424	0.001	265
53.46	0.001	768
54.301	0.001	47
54.347	0.001	10
54.731	0.001	265
56.231	0.001	265
56.301	0.001	47
56.347	0.001	10
58.301	0.001	47
58.347	0.001	10
58.467	0.001	265
60.301	0.001	47
60.347	0.001	10
60.692	0.001	265
62.17	0.001	265
62.301	0.001	47
62.347	0.001	10
64.301	0.001	47
64.347	0.001	10
65.232	0.001	265
66.301	0.001	47
66.347	0.001	10
66.751	0.001	265
68.257	0.001	265
68.301	0.001	47
68.347	0.001	10
70.301	0.001	47
70.347	0.001	10
70.483	0.001	265
72.301	0.001	47
72.347	0.001	10
72.769	0.001	265
74.271	0.001	265
74.301	0.001	47
74.347	0.001	10
75.789	0.001	265
76.301	0.001	47
76.347	0.001	10
77.774	0.001	265
78.301	0.001	47
78.347	0.001	10
79.993	0.001	265
80.301	0.001	47
80.347	0.001	10
81.61	0.001	265
82.301	0.001	47
82.347	0.001	10
83.254	0.001	265
84.301	0.001	47
84.347	0.001	10
85.688	0.001	265
86.301	0.001	47
86.347	0.001	10
87.245	0.001	265
88.301	0.001	47
88.347	0.001	10
90.301	0.001	47
90.347	0.001	10
90.422	0.001	265
92.039	0.001	265
92.301	0.001	47
92.347	0.001	10
94.301	0.001	47
94.347	0.001	10
95.936	0.001	265
96.301	0.001	47
96.347	0.001	10
98.209	0.001	265
98.301	0.001	47
98.347	0.001	10
100.301	0.001	47
100.347	0.001	10
100.526	0.001	265
102.057	0.001	265
102.301	0.001	47
102.347	0.001	10
103.541	0.001	265
104.301	0.001	47
104.347	0.001	10
105.039	0.001	265
106.301	0.001	47
106.347	0.001	10
107.366	0.001	265
108.301	0.001	47
108.347	0.001	10
109.67	0.001	265
110.301	0.001	47
110.347	0.001	10
112.301	0.001	47
112.347	0.001	10
112.8	0.001	265
114.301	0.001	47
114.347	0.001	10
115.951	0.001	265
116.301	0.001	47
116.347	0.001	10
117.553	0.001	265
118.301	0.001	47
118.347	0.001	10
119.882	0.001	265
120.301	0.001	47
120.347	0.001	10
121.397	0.001	265
122.301	0.001	47
122.347	0.001	10
123.01	0.001	265
124.301	0.001	47
124.347	0.001	10
124.579	0.001	265
126.151	0.001	265
126.301	0.001	47
126.347	0.001	10
128.301	0.001	47
128.347	0.001	10
128.48	0.001	265
