onset	duration	trial_type
0.001	0.001	1
0.021	0.001	47
1.021	0.001	47
2.726	0.001	265
3.021	0.001	47
4.337	0.001	265
5.021	0.001	47
5.939	0.001	265
7.021	0.001	47
9.021	0.001	47
11.021	0.001	47
12.515	0.001	265
13.021	0.001	47
13.652	0.001	10
14.138	0.001	265
14.783	0.001	768
15.021	0.001	47
15.652	0.001	10
16.61	0.001	265
17.021	0.001	47
17.652	0.001	10
19.021	0.001	47
19.652	0.001	10
20.081	0.001	265
21.021	0.001	47
21.652	0.001	10
21.736	0.001	265
23.021	0.001	47
23.652	0.001	10
23.864	0.001	265
25.021	0.001	47
25.346	0.001	265
25.652	0.001	10
27.021	0.001	47
27.652	0.001	10
29.021	0.001	47
29.652	0.001	10
31.021	0.001	47
31.384	0.001	265
31.652	0.001	10
33.021	0.001	47
33.652	0.001	10
34.621	0.001	265
35.021	0.001	47
35.652	0.001	10
37.008	0.001	265
37.021	0.001	47
37.652	0.001	10
39.021	0.001	47
39.652	0.001	10
40.025	0.001	265
41.021	0.001	47
41.652	0.001	10
42.327	0.001	265
43.021	0.001	47
43.652	0.001	10
43.804	0.001	265
45.021	0.001	47
45.304	0.001	265
45.652	0.001	10
46.774	0.001	265
47.021	0.001	47
47.652	0.001	10
48.087	0.001	265
49.021	0.001	47
49.652	0.001	10
50.139	0.001	265
51.021	0.001	47
51.652	0.001	10
53.021	0.001	47
53.381	0.001	265
53.652	0.001	10
55.021	0.001	47
55.539	0.001	265
55.652	0.001	10
57.021	0.001	47
57.652	0.001	10
57.861	0.001	265
59.021	0.001	47
59.333	0.001	265
59.652	0.001	10
61.021	0.001	47
61.652	0.001	10
61.711	0.001	265
63.021	0.001	47
63.652	0.001	10
64.9	0.001	265
65.021	0.001	47
65.652	0.001	10
66.43	0.001	1283
66.513	0.001	1285
66.513	0.001	265
66.93	0.001	34053
67.021	0.001	47
67.652	0.001	10
68.143	0.001	265
69.021	0.001	47
69.652	0.001	10
69.773	0.001	265
71.021	0.001	47
71.652	0.001	10
72.299	0.001	265
73.021	0.001	47
73.652	0.001	10
73.914	0.001	265
75.021	0.001	47
75.652	0.001	10
76.361	0.001	265
77.021	0.001	47
77.652	0.001	10
79.021	0.001	47
79.652	0.001	10
81.021	0.001	47
81.335	0.001	265
81.652	0.001	10
82.945	0.001	265
83.021	0.001	47
83.652	0.001	10
85.021	0.001	47
85.375	0.001	265
85.652	0.001	10
86.976	0.001	265
87.021	0.001	47
87.652	0.001	10
88.586	0.001	265
89.021	0.001	47
89.652	0.001	10
91.002	0.001	265
91.021	0.001	47
91.652	0.001	10
92.665	0.001	265
93.021	0.001	47
93.652	0.001	10
94.262	0.001	265
95.021	0.001	47
95.652	0.001	10
96.733	0.001	265
97.021	0.001	47
97.652	0.001	10
98.313	0.001	265
99.021	0.001	47
99.652	0.001	10
99.977	0.001	265
101.021	0.001	47
101.594	0.001	265
101.652	0.001	10
103.021	0.001	47
103.652	0.001	10
105.021	0.001	47
105.652	0.001	10
107.021	0.001	47
107.545	0.001	265
107.652	0.001	10
109.021	0.001	47
109.157	0.001	265
109.652	0.001	10
110.886	0.001	265
111.021	0.001	47
111.652	0.001	10
112.578	0.001	265
113.021	0.001	47
113.652	0.001	10
114.309	0.001	265
115.021	0.001	47
115.652	0.001	10
