onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
1.721	0.001	47
1.733	0.001	265
3.721	0.001	47
4.447	0.001	265
5.721	0.001	47
7.721	0.001	47
7.895	0.001	265
9.24	0.001	265
9.721	0.001	47
10.589	0.001	265
11.721	0.001	47
12.606	0.001	265
13.721	0.001	47
14.341	0.001	10
14.766	0.001	265
15.476	0.001	768
15.721	0.001	47
16.341	0.001	10
16.934	0.001	265
17.721	0.001	47
18.341	0.001	10
19.721	0.001	47
19.739	0.001	265
20.341	0.001	10
21.721	0.001	47
22.341	0.001	10
23.341	0.001	265
23.721	0.001	47
24.341	0.001	10
25.721	0.001	47
26.27	0.001	265
26.341	0.001	10
27.721	0.001	47
28.341	0.001	10
29.218	0.001	265
29.721	0.001	47
30.341	0.001	10
30.703	0.001	265
31.721	0.001	47
32.341	0.001	10
32.833	0.001	265
33.721	0.001	47
34.318	0.001	265
34.341	0.001	10
35.721	0.001	47
35.75	0.001	265
36.341	0.001	10
37.266	0.001	265
37.721	0.001	47
38.341	0.001	10
38.717	0.001	265
39.721	0.001	47
40.341	0.001	10
40.969	0.001	265
41.721	0.001	47
42.341	0.001	10
42.361	0.001	265
43.721	0.001	47
43.777	0.001	265
44.341	0.001	10
45.166	0.001	265
45.721	0.001	47
46.341	0.001	10
47.721	0.001	47
47.768	0.001	265
48.341	0.001	10
49.721	0.001	47
49.932	0.001	265
50.341	0.001	10
51.721	0.001	47
52.23	0.001	265
52.341	0.001	10
53.689	0.001	265
53.721	0.001	47
54.341	0.001	10
55.721	0.001	47
55.887	0.001	265
56.341	0.001	10
57.721	0.001	47
58.341	0.001	10
59.103	0.001	265
59.721	0.001	47
60.341	0.001	10
61.43	0.001	265
61.721	0.001	47
62.341	0.001	10
62.885	0.001	1283
62.996	0.001	265
62.996	0.001	1285
63.385	0.001	34053
63.721	0.001	47
64.341	0.001	10
64.487	0.001	265
65.721	0.001	47
66.341	0.001	10
67.638	0.001	265
67.721	0.001	47
68.341	0.001	10
69.721	0.001	47
70.341	0.001	10
70.98	0.001	265
71.721	0.001	47
72.341	0.001	10
73.443	0.001	265
73.721	0.001	47
74.341	0.001	10
75.129	0.001	265
75.721	0.001	47
76.341	0.001	10
76.717	0.001	265
77.721	0.001	47
78.341	0.001	10
78.348	0.001	265
79.721	0.001	47
80.341	0.001	10
81.721	0.001	47
82.341	0.001	10
83.025	0.001	265
83.721	0.001	47
84.341	0.001	10
84.57	0.001	265
85.721	0.001	47
86.341	0.001	10
86.841	0.001	265
87.721	0.001	47
88.341	0.001	10
89.22	0.001	265
89.721	0.001	47
90.341	0.001	10
90.839	0.001	265
91.721	0.001	47
92.341	0.001	10
92.363	0.001	265
93.721	0.001	47
93.961	0.001	265
94.341	0.001	10
95.458	0.001	265
95.721	0.001	47
96.341	0.001	10
97.043	0.001	265
97.721	0.001	47
98.341	0.001	10
98.572	0.001	265
99.721	0.001	47
100.191	0.001	265
100.341	0.001	10
101.714	0.001	265
101.721	0.001	47
102.341	0.001	10
103.721	0.001	47
104.341	0.001	10
105.472	0.001	265
105.721	0.001	47
106.341	0.001	10
107.721	0.001	47
108.341	0.001	10
109.171	0.001	265
109.721	0.001	47
110.341	0.001	10
