onset	duration	trial_type
0.001	0.001	1
0.021	0.001	47
1.321	0.001	47
3.321	0.001	47
5.321	0.001	47
7.321	0.001	47
9.321	0.001	47
11.321	0.001	47
12.337	0.001	10
12.613	0.001	265
13.321	0.001	47
13.64	0.001	265
14.197	0.001	768
14.337	0.001	10
15.321	0.001	47
15.694	0.001	265
16.337	0.001	10
16.721	0.001	265
17.321	0.001	47
17.748	0.001	265
18.337	0.001	10
19.321	0.001	47
19.748	0.001	265
20.337	0.001	10
21.321	0.001	47
22.337	0.001	10
22.776	0.001	265
23.321	0.001	47
23.856	0.001	265
24.337	0.001	10
24.884	0.001	265
25.321	0.001	47
25.91	0.001	265
26.337	0.001	10
27.321	0.001	47
27.91	0.001	265
28.337	0.001	10
28.938	0.001	265
29.321	0.001	47
30.337	0.001	10
30.938	0.001	265
31.321	0.001	47
32.073	0.001	265
32.337	0.001	10
33.321	0.001	47
34.073	0.001	265
34.337	0.001	10
35.154	0.001	265
35.321	0.001	47
36.181	0.001	265
36.337	0.001	10
37.321	0.001	47
38.181	0.001	265
38.337	0.001	10
39.262	0.001	265
39.321	0.001	47
40.337	0.001	10
40.343	0.001	265
41.321	0.001	47
41.37	0.001	265
42.337	0.001	10
43.321	0.001	47
43.424	0.001	265
44.337	0.001	10
44.559	0.001	265
45.321	0.001	47
45.586	0.001	265
46.337	0.001	10
46.667	0.001	265
47.321	0.001	47
47.748	0.001	265
48.337	0.001	10
48.83	0.001	265
49.321	0.001	47
50.337	0.001	10
50.83	0.001	265
51.321	0.001	47
51.856	0.001	265
52.337	0.001	10
52.938	0.001	265
53.321	0.001	47
53.964	0.001	265
54.337	0.001	10
55.321	0.001	47
55.964	0.001	265
56.337	0.001	10
57.046	0.001	265
57.321	0.001	47
58.337	0.001	10
59.1	0.001	265
59.321	0.001	47
60.127	0.001	265
60.337	0.001	10
61.208	0.001	265
61.321	0.001	47
62.235	0.001	265
62.337	0.001	10
63.321	0.001	47
64.235	0.001	265
64.337	0.001	10
65.316	0.001	265
65.321	0.001	47
66.337	0.001	10
66.397	0.001	265
67.321	0.001	47
67.478	0.001	265
68.337	0.001	10
68.559	0.001	265
69.321	0.001	47
69.64	0.001	265
70.337	0.001	10
70.721	0.001	265
71.321	0.001	47
71.856	0.001	265
72.337	0.001	10
72.938	0.001	265
73.321	0.001	47
74.337	0.001	10
74.884	0.001	265
75.321	0.001	47
75.911	0.001	265
76.337	0.001	10
76.991	0.001	265
77.321	0.001	47
78.019	0.001	265
78.337	0.001	10
79.321	0.001	47
80.019	0.001	265
80.337	0.001	10
81.1	0.001	265
81.321	0.001	47
82.181	0.001	265
82.337	0.001	10
83.321	0.001	47
84.181	0.001	265
84.337	0.001	10
85.262	0.001	265
85.321	0.001	47
86.337	0.001	10
87.262	0.001	265
87.321	0.001	47
88.233	0.001	1283
88.289	0.001	265
88.289	0.001	1285
88.337	0.001	10
88.733	0.001	34053
89.321	0.001	47
89.37	0.001	265
90.337	0.001	10
90.397	0.001	265
91.321	0.001	47
92.337	0.001	10
92.397	0.001	265
93.321	0.001	47
93.478	0.001	265
94.337	0.001	10
94.559	0.001	265
95.321	0.001	47
96.337	0.001	10
96.559	0.001	265
97.321	0.001	47
97.694	0.001	265
98.337	0.001	10
98.83	0.001	265
99.321	0.001	47
