onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.221	0.001	47
0.588	0.001	265
2.221	0.001	47
2.483	0.001	265
3.52	0.001	265
4.221	0.001	47
4.626	0.001	265
5.662	0.001	265
6.221	0.001	47
6.717	0.001	265
7.756	0.001	265
8.221	0.001	47
10.221	0.001	47
12.221	0.001	47
14.149	0.001	10
14.221	0.001	47
15.512	0.001	265
15.675	0.001	768
16.149	0.001	10
16.221	0.001	47
17.5	0.001	265
18.149	0.001	10
18.221	0.001	47
19.443	0.001	265
20.149	0.001	10
20.221	0.001	47
22.149	0.001	10
22.221	0.001	47
24.149	0.001	10
24.221	0.001	47
24.245	0.001	265
26.085	0.001	265
26.149	0.001	10
26.221	0.001	47
28.027	0.001	265
28.149	0.001	10
28.221	0.001	47
29.55	0.001	265
30.149	0.001	10
30.221	0.001	47
31.872	0.001	265
32.149	0.001	10
32.221	0.001	47
34.149	0.001	10
34.221	0.001	47
34.681	0.001	265
36.149	0.001	10
36.221	0.001	47
36.576	0.001	265
38.149	0.001	10
38.221	0.001	47
38.472	0.001	265
40.149	0.001	10
40.221	0.001	47
40.464	0.001	265
42.149	0.001	10
42.221	0.001	47
43.226	0.001	265
44.149	0.001	10
44.221	0.001	47
45.063	0.001	265
46.149	0.001	10
46.221	0.001	47
47.876	0.001	265
48.149	0.001	10
48.221	0.001	47
48.894	0.001	265
50.149	0.001	10
50.221	0.001	47
51.6	0.001	265
52.149	0.001	10
52.221	0.001	47
54.149	0.001	10
54.221	0.001	47
55.389	0.001	265
56.149	0.001	10
56.221	0.001	47
57.332	0.001	265
58.149	0.001	10
58.221	0.001	47
60.149	0.001	10
60.203	0.001	265
60.221	0.001	47
62.144	0.001	265
62.149	0.001	10
62.221	0.001	47
63.988	0.001	265
64.149	0.001	10
64.221	0.001	47
66.149	0.001	10
66.221	0.001	47
66.738	0.001	265
68.149	0.001	10
68.221	0.001	47
68.628	0.001	265
70.149	0.001	10
70.221	0.001	47
70.463	0.001	265
72.149	0.001	10
72.221	0.001	47
73.164	0.001	265
74.149	0.001	10
74.221	0.001	47
75.009	0.001	265
76.031	0.001	265
76.149	0.001	10
76.221	0.001	47
77.869	0.001	265
78.149	0.001	10
78.221	0.001	47
80.149	0.001	10
80.221	0.001	47
80.632	0.001	265
82.149	0.001	10
82.221	0.001	47
82.518	0.001	265
84.149	0.001	10
84.221	0.001	47
84.434	0.001	265
86.149	0.001	10
86.221	0.001	47
88.096	0.001	265
88.149	0.001	10
88.221	0.001	47
89.598	0.001	265
90.149	0.001	10
90.221	0.001	47
92.149	0.001	10
92.221	0.001	47
92.794	0.001	265
94.149	0.001	10
94.221	0.001	47
95.118	0.001	265
96.149	0.001	10
96.221	0.001	47
96.526	0.001	265
98.149	0.001	10
98.221	0.001	47
98.519	0.001	265
100.149	0.001	10
100.2	0.001	265
100.221	0.001	47
101.931	0.001	265
102.149	0.001	10
102.221	0.001	47
103.708	0.001	265
104.149	0.001	10
104.221	0.001	47
105.331	0.001	265
106.149	0.001	10
106.221	0.001	47
108.149	0.001	10
108.221	0.001	47
110.149	0.001	10
110.221	0.001	47
112.149	0.001	10
112.221	0.001	47
112.254	0.001	265
114.143	0.001	265
