onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.001	0.001	1283
0.825	0.001	1285
1.041	0.001	47
1.501	0.001	34053
3.041	0.001	47
5.041	0.001	47
7.041	0.001	47
9.041	0.001	47
11.041	0.001	47
13.041	0.001	47
13.98	0.001	10
15.041	0.001	47
15.98	0.001	10
16.099	0.001	768
17.041	0.001	47
17.98	0.001	10
19.041	0.001	47
19.98	0.001	10
21.041	0.001	47
21.98	0.001	10
23.041	0.001	47
23.98	0.001	10
25.041	0.001	47
25.98	0.001	10
27.041	0.001	47
27.98	0.001	10
29.041	0.001	47
29.98	0.001	10
31.041	0.001	47
31.98	0.001	10
33.041	0.001	47
33.98	0.001	10
35.041	0.001	47
35.98	0.001	10
37.041	0.001	47
37.98	0.001	10
39.041	0.001	47
39.98	0.001	10
41.041	0.001	47
41.98	0.001	10
43.041	0.001	47
43.98	0.001	10
45.041	0.001	47
45.98	0.001	10
47.041	0.001	47
47.98	0.001	10
49.041	0.001	47
49.98	0.001	10
51.041	0.001	47
51.98	0.001	10
53.041	0.001	47
53.98	0.001	10
55.041	0.001	47
55.98	0.001	10
57.041	0.001	47
57.98	0.001	10
59.041	0.001	47
59.98	0.001	10
61.041	0.001	47
61.98	0.001	10
63.041	0.001	47
63.98	0.001	10
65.041	0.001	47
65.98	0.001	10
67.041	0.001	47
67.98	0.001	10
69.041	0.001	47
69.98	0.001	10
71.041	0.001	47
71.98	0.001	10
73.041	0.001	47
73.98	0.001	10
75.041	0.001	47
75.98	0.001	10
77.041	0.001	47
77.98	0.001	10
79.041	0.001	47
79.98	0.001	10
81.041	0.001	47
81.98	0.001	10
83.041	0.001	47
83.98	0.001	10
85.041	0.001	47
85.98	0.001	10
87.041	0.001	47
87.98	0.001	10
89.041	0.001	47
89.98	0.001	10
91.041	0.001	47
91.98	0.001	10
93.041	0.001	47
93.98	0.001	10
95.041	0.001	47
95.98	0.001	10
97.041	0.001	47
97.98	0.001	10
99.041	0.001	47
99.98	0.001	10
101.041	0.001	47
101.98	0.001	10
103.041	0.001	47
103.98	0.001	10
105.041	0.001	47
105.98	0.001	10
107.041	0.001	47
107.98	0.001	10
109.041	0.001	47
109.98	0.001	10
111.041	0.001	47
111.98	0.001	10
113.041	0.001	47
113.98	0.001	10
115.041	0.001	47
115.98	0.001	10
117.041	0.001	47
117.98	0.001	10
119.041	0.001	47
119.98	0.001	10
121.041	0.001	47
121.98	0.001	10
123.041	0.001	47
123.98	0.001	10
125.041	0.001	47
125.98	0.001	10
127.041	0.001	47
127.98	0.001	10
129.041	0.001	47
129.98	0.001	10
131.041	0.001	47
131.98	0.001	10
133.041	0.001	47
133.98	0.001	10
135.041	0.001	47
135.98	0.001	10
137.041	0.001	47
137.98	0.001	10
139.041	0.001	47
139.98	0.001	10
141.041	0.001	47
141.98	0.001	10
143.041	0.001	47
143.98	0.001	10
145.041	0.001	47
145.98	0.001	10
147.041	0.001	47
147.98	0.001	10
149.041	0.001	47
149.17	0.001	768
149.98	0.001	10
151.041	0.001	47
151.98	0.001	10
153.041	0.001	47
153.98	0.001	10
155.041	0.001	47
155.98	0.001	10
157.041	0.001	47
157.98	0.001	10
159.041	0.001	47
159.98	0.001	10
