onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
1.261	0.001	47
3.261	0.001	47
5.261	0.001	47
7.261	0.001	47
9.261	0.001	47
10.474	0.001	265
11.261	0.001	47
11.502	0.001	265
12.691	0.001	265
13.261	0.001	47
13.826	0.001	265
14.278	0.001	10
15.261	0.001	47
15.731	0.001	768
16.121	0.001	265
16.278	0.001	10
17.261	0.001	47
17.31	0.001	265
18.278	0.001	10
18.445	0.001	265
19.261	0.001	47
19.634	0.001	265
20.278	0.001	10
20.824	0.001	265
21.261	0.001	47
21.959	0.001	265
22.278	0.001	10
23.148	0.001	265
23.261	0.001	47
24.278	0.001	10
24.337	0.001	265
25.261	0.001	47
25.418	0.001	265
26.278	0.001	10
26.607	0.001	265
27.261	0.001	47
27.743	0.001	265
28.278	0.001	10
28.824	0.001	265
29.261	0.001	47
30.013	0.001	265
30.278	0.001	10
31.202	0.001	265
31.261	0.001	47
32.278	0.001	10
32.391	0.001	265
33.261	0.001	47
33.58	0.001	265
34.278	0.001	10
34.77	0.001	265
35.261	0.001	47
35.905	0.001	265
36.278	0.001	10
37.094	0.001	265
37.261	0.001	47
38.278	0.001	10
38.283	0.001	265
39.261	0.001	47
39.418	0.001	265
40.278	0.001	10
40.607	0.001	265
41.261	0.001	47
41.797	0.001	265
42.278	0.001	10
42.932	0.001	265
43.261	0.001	47
44.121	0.001	265
44.278	0.001	10
45.261	0.001	47
45.31	0.001	265
46.278	0.001	10
46.445	0.001	265
47.261	0.001	47
47.743	0.001	265
48.278	0.001	10
48.986	0.001	265
49.261	0.001	47
50.175	0.001	265
50.278	0.001	10
51.261	0.001	47
51.472	0.001	265
52.278	0.001	10
52.716	0.001	265
53.261	0.001	47
53.905	0.001	265
54.278	0.001	10
55.094	0.001	265
55.261	0.001	47
56.278	0.001	10
56.337	0.001	265
57.261	0.001	47
57.472	0.001	265
58.278	0.001	10
58.716	0.001	265
59.261	0.001	47
59.905	0.001	265
60.001	0.001	1283
60.278	0.001	10
61.094	0.001	1285
61.094	0.001	265
61.261	0.001	47
61.501	0.001	34053
62.278	0.001	10
62.337	0.001	265
63.261	0.001	47
63.58	0.001	265
64.278	0.001	10
64.77	0.001	265
65.261	0.001	47
66.013	0.001	265
66.278	0.001	10
67.202	0.001	265
67.261	0.001	47
68.278	0.001	10
68.283	0.001	265
69.261	0.001	47
69.472	0.001	265
70.278	0.001	10
70.607	0.001	265
71.261	0.001	47
71.743	0.001	265
72.278	0.001	10
72.932	0.001	265
73.261	0.001	47
74.067	0.001	265
74.278	0.001	10
75.202	0.001	265
75.261	0.001	47
76.278	0.001	10
76.391	0.001	265
77.261	0.001	47
77.526	0.001	265
78.278	0.001	10
78.662	0.001	265
79.261	0.001	47
79.851	0.001	265
80.278	0.001	10
81.04	0.001	265
81.261	0.001	47
82.175	0.001	265
82.278	0.001	10
83.261	0.001	47
83.364	0.001	265
84.278	0.001	10
84.499	0.001	265
85.261	0.001	47
85.635	0.001	265
86.278	0.001	10
86.824	0.001	265
87.261	0.001	47
87.959	0.001	265
88.278	0.001	10
89.148	0.001	265
89.261	0.001	47
90.278	0.001	10
90.337	0.001	265
91.261	0.001	47
91.526	0.001	265
92.278	0.001	10
