onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.001	0.001	1283
1.102	0.001	1285
1.102	0.001	265
1.501	0.001	34053
1.681	0.001	47
2.997	0.001	265
3.681	0.001	47
5.681	0.001	47
5.769	0.001	265
7.681	0.001	47
9.454	0.001	265
9.681	0.001	47
11.286	0.001	265
11.681	0.001	47
13.146	0.001	265
13.681	0.001	47
15.142	0.001	265
15.681	0.001	47
16.17	0.001	265
17.681	0.001	47
19.681	0.001	47
21.681	0.001	47
23.462	0.001	10
23.681	0.001	47
25.462	0.001	10
25.681	0.001	47
25.919	0.001	265
27.462	0.001	10
27.681	0.001	47
28.673	0.001	265
28.935	0.001	768
29.462	0.001	10
29.681	0.001	47
31.462	0.001	10
31.513	0.001	265
31.681	0.001	47
33.462	0.001	10
33.681	0.001	47
34.471	0.001	265
35.462	0.001	10
35.681	0.001	47
37.397	0.001	265
37.462	0.001	10
37.681	0.001	47
39.342	0.001	265
39.462	0.001	10
39.681	0.001	47
41.283	0.001	265
41.462	0.001	10
41.681	0.001	47
43.462	0.001	10
43.681	0.001	47
44.099	0.001	265
45.462	0.001	10
45.681	0.001	47
47.021	0.001	265
47.462	0.001	10
47.681	0.001	47
49.462	0.001	10
49.681	0.001	47
50.989	0.001	265
51.462	0.001	10
51.681	0.001	47
51.99	0.001	265
53.462	0.001	10
53.681	0.001	47
54.7	0.001	265
55.462	0.001	10
55.681	0.001	47
57.462	0.001	10
57.681	0.001	47
59.462	0.001	10
59.681	0.001	47
60.921	0.001	265
61.462	0.001	10
61.681	0.001	47
61.927	0.001	265
63.462	0.001	10
63.681	0.001	47
63.94	0.001	265
64.94	0.001	265
65.462	0.001	10
65.681	0.001	47
67.462	0.001	10
67.681	0.001	47
69.462	0.001	10
69.681	0.001	47
70.864	0.001	265
71.462	0.001	10
71.681	0.001	47
73.462	0.001	10
73.681	0.001	47
75.462	0.001	10
75.681	0.001	47
77.462	0.001	10
77.681	0.001	47
79.462	0.001	10
79.553	0.001	265
79.681	0.001	47
81.462	0.001	10
81.681	0.001	47
83.132	0.001	265
83.462	0.001	10
83.681	0.001	47
84.956	0.001	265
85.462	0.001	10
85.681	0.001	47
86.848	0.001	265
87.462	0.001	10
87.681	0.001	47
88.688	0.001	265
89.462	0.001	10
89.681	0.001	47
90.576	0.001	265
91.462	0.001	10
91.681	0.001	47
93.428	0.001	265
93.462	0.001	10
93.681	0.001	47
95.462	0.001	10
95.681	0.001	47
97.187	0.001	265
97.462	0.001	10
97.681	0.001	47
99.057	0.001	265
99.462	0.001	10
99.681	0.001	47
100.962	0.001	265
101.462	0.001	10
101.681	0.001	47
103.462	0.001	10
103.681	0.001	47
103.836	0.001	265
105.462	0.001	10
105.681	0.001	47
106.754	0.001	265
107.462	0.001	10
107.681	0.001	47
109.462	0.001	10
109.681	0.001	47
110.588	0.001	265
111.462	0.001	10
111.681	0.001	47
112.514	0.001	265
113.462	0.001	10
113.681	0.001	47
114.372	0.001	265
115.462	0.001	10
115.681	0.001	47
117.462	0.001	10
117.681	0.001	47
119.462	0.001	10
119.681	0.001	47
119.834	0.001	265
121.462	0.001	10
121.665	0.001	265
121.681	0.001	47
123.462	0.001	10
123.681	0.001	47
