onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.321	0.001	47
1.267	0.001	265
2.321	0.001	47
4.321	0.001	47
5.018	0.001	265
6.321	0.001	47
6.833	0.001	265
8.321	0.001	47
10.321	0.001	47
12.321	0.001	47
14.321	0.001	47
14.547	0.001	10
15.935	0.001	768
16.321	0.001	47
16.387	0.001	265
16.547	0.001	10
18.273	0.001	265
18.321	0.001	47
18.547	0.001	10
20.16	0.001	265
20.321	0.001	47
20.547	0.001	10
21.177	0.001	265
22.178	0.001	265
22.321	0.001	47
22.547	0.001	10
24.119	0.001	265
24.321	0.001	47
24.547	0.001	10
26.321	0.001	47
26.547	0.001	10
26.931	0.001	265
28.321	0.001	47
28.547	0.001	10
28.72	0.001	265
30.321	0.001	47
30.547	0.001	10
32.321	0.001	47
32.547	0.001	10
33.344	0.001	265
34.321	0.001	47
34.547	0.001	10
35.245	0.001	265
36.321	0.001	47
36.547	0.001	10
38.321	0.001	47
38.547	0.001	10
39.896	0.001	265
40.321	0.001	47
40.547	0.001	10
42.321	0.001	47
42.547	0.001	10
42.753	0.001	265
44.321	0.001	47
44.547	0.001	10
45.624	0.001	265
46.321	0.001	47
46.547	0.001	10
47.414	0.001	265
48.321	0.001	47
48.547	0.001	10
49.316	0.001	265
50.321	0.001	47
50.547	0.001	10
51.186	0.001	265
52.321	0.001	47
52.547	0.001	10
54.112	0.001	265
54.321	0.001	47
54.547	0.001	10
56.321	0.001	47
56.547	0.001	10
56.928	0.001	265
58.321	0.001	47
58.547	0.001	10
59.672	0.001	265
60.321	0.001	47
60.547	0.001	10
61.57	0.001	265
62.321	0.001	47
62.547	0.001	10
64.28	0.001	265
64.321	0.001	47
64.547	0.001	10
66.321	0.001	47
66.547	0.001	10
66.984	0.001	265
68.321	0.001	47
68.547	0.001	10
68.882	0.001	265
70.321	0.001	47
70.547	0.001	10
70.706	0.001	265
72.204	0.001	1283
72.321	0.001	47
72.494	0.001	265
72.494	0.001	1285
72.547	0.001	10
72.704	0.001	34053
74.272	0.001	265
74.321	0.001	47
74.547	0.001	10
76.115	0.001	265
76.321	0.001	47
76.547	0.001	10
78.321	0.001	47
78.547	0.001	10
78.972	0.001	265
80.321	0.001	47
80.547	0.001	10
80.867	0.001	265
82.321	0.001	47
82.547	0.001	10
83.568	0.001	265
84.321	0.001	47
84.547	0.001	10
86.321	0.001	47
86.547	0.001	10
87.246	0.001	265
88.321	0.001	47
88.547	0.001	10
89.084	0.001	265
90.321	0.001	47
90.547	0.001	10
91.888	0.001	265
92.321	0.001	47
92.547	0.001	10
93.688	0.001	265
94.321	0.001	47
94.547	0.001	10
96.321	0.001	47
96.388	0.001	265
96.547	0.001	10
98.218	0.001	265
98.321	0.001	47
98.547	0.001	10
100.321	0.001	47
100.547	0.001	10
101.034	0.001	265
102.321	0.001	47
102.547	0.001	10
103.783	0.001	265
104.321	0.001	47
104.547	0.001	10
106.321	0.001	47
106.433	0.001	265
106.547	0.001	10
108.321	0.001	47
108.547	0.001	10
109.258	0.001	265
110.321	0.001	47
110.547	0.001	10
111.124	0.001	265
112.321	0.001	47
112.547	0.001	10
113.021	0.001	265
114.321	0.001	47
114.547	0.001	10
114.747	0.001	265
