onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.001	0.001	1283
0.913	0.001	1285
0.913	0.001	265
1.501	0.001	34053
1.801	0.001	47
3.801	0.001	47
3.836	0.001	265
4.845	0.001	265
5.801	0.001	47
6.811	0.001	265
7.801	0.001	47
7.836	0.001	265
9.801	0.001	47
10.794	0.001	265
11.801	0.001	47
13.759	0.001	265
13.801	0.001	47
14.828	0.001	265
15.801	0.001	47
16.888	0.001	265
17.801	0.001	47
17.954	0.001	265
19.801	0.001	47
20.017	0.001	265
21.037	0.001	265
21.801	0.001	47
23.076	0.001	265
23.801	0.001	47
24.097	0.001	265
25.801	0.001	47
27.801	0.001	47
29.801	0.001	47
30.675	0.001	10
31.771	0.001	768
31.801	0.001	47
32.675	0.001	10
33.801	0.001	47
34.675	0.001	10
35.801	0.001	47
36.675	0.001	10
37.753	0.001	265
37.801	0.001	47
38.675	0.001	10
39.801	0.001	47
40.675	0.001	10
41.801	0.001	47
42.675	0.001	10
43.801	0.001	47
43.873	0.001	265
44.675	0.001	10
45.801	0.001	47
46.675	0.001	10
47.801	0.001	47
48.675	0.001	10
49.801	0.001	47
50.675	0.001	10
50.785	0.001	265
51.801	0.001	47
52.675	0.001	10
53.801	0.001	47
54.675	0.001	10
55.801	0.001	47
56.675	0.001	10
56.942	0.001	265
57.801	0.001	47
58.675	0.001	10
59.801	0.001	47
60.081	0.001	265
60.675	0.001	10
61.801	0.001	47
62.083	0.001	265
62.675	0.001	10
63.106	0.001	265
63.801	0.001	47
64.675	0.001	10
65.801	0.001	47
66.242	0.001	265
66.675	0.001	10
67.801	0.001	47
68.675	0.001	10
69.801	0.001	47
70.412	0.001	265
70.675	0.001	10
71.801	0.001	47
72.675	0.001	10
73.437	0.001	265
73.801	0.001	47
74.546	0.001	265
74.675	0.001	10
75.801	0.001	47
76.675	0.001	10
77.801	0.001	47
78.502	0.001	265
78.675	0.001	10
79.801	0.001	47
80.675	0.001	10
81.694	0.001	265
81.801	0.001	47
82.675	0.001	10
82.777	0.001	265
83.801	0.001	47
84.675	0.001	10
85.801	0.001	47
86.675	0.001	10
87.801	0.001	47
88.675	0.001	10
89.797	0.001	265
89.801	0.001	47
90.675	0.001	10
91.801	0.001	47
92.675	0.001	10
93.801	0.001	47
93.856	0.001	265
94.675	0.001	10
95.801	0.001	47
96.675	0.001	10
96.928	0.001	265
97.801	0.001	47
98.675	0.001	10
99.801	0.001	47
100.675	0.001	10
101.801	0.001	47
102.675	0.001	10
102.836	0.001	265
103.801	0.001	47
104.675	0.001	10
105.76	0.001	265
105.801	0.001	47
106.675	0.001	10
107.759	0.001	265
107.801	0.001	47
108.675	0.001	10
108.788	0.001	265
109.801	0.001	47
110.675	0.001	10
111.76	0.001	265
111.801	0.001	47
112.675	0.001	10
113.801	0.001	47
114.675	0.001	10
114.774	0.001	265
115.801	0.001	47
116.675	0.001	10
117.801	0.001	47
117.856	0.001	265
118.675	0.001	10
119.801	0.001	47
120.675	0.001	10
120.896	0.001	265
121.801	0.001	47
122.675	0.001	10
123.801	0.001	47
124.675	0.001	10
124.954	0.001	265
125.801	0.001	47
126.675	0.001	10
127.801	0.001	47
128.085	0.001	265
128.675	0.001	10
