onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.001	0.001	1283
0.561	0.001	47
1.399	0.001	265
1.399	0.001	1285
1.501	0.001	34053
2.561	0.001	47
4.219	0.001	265
4.561	0.001	47
6.156	0.001	265
6.561	0.001	47
8.561	0.001	47
10.561	0.001	47
12.561	0.001	47
12.724	0.001	10
14.561	0.001	47
14.594	0.001	768
14.724	0.001	10
16.561	0.001	47
16.724	0.001	10
18.561	0.001	47
18.724	0.001	10
20.561	0.001	47
20.724	0.001	10
22.561	0.001	47
22.724	0.001	10
24.561	0.001	47
24.724	0.001	10
26.561	0.001	47
26.724	0.001	10
28.561	0.001	47
28.724	0.001	10
30.561	0.001	47
30.724	0.001	10
32.561	0.001	47
32.724	0.001	10
34.561	0.001	47
34.724	0.001	10
36.561	0.001	47
36.724	0.001	10
38.561	0.001	47
38.724	0.001	10
40.561	0.001	47
40.724	0.001	10
42.561	0.001	47
42.724	0.001	10
44.561	0.001	47
44.724	0.001	10
46.561	0.001	47
46.724	0.001	10
48.561	0.001	47
48.724	0.001	10
50.561	0.001	47
50.724	0.001	10
52.561	0.001	47
52.724	0.001	10
54.561	0.001	47
54.724	0.001	10
56.561	0.001	47
56.724	0.001	10
58.561	0.001	47
58.724	0.001	10
60.561	0.001	47
60.724	0.001	10
62.561	0.001	47
62.724	0.001	10
64.561	0.001	47
64.724	0.001	10
66.561	0.001	47
66.724	0.001	10
68.561	0.001	47
68.724	0.001	10
70.561	0.001	47
70.724	0.001	10
72.561	0.001	47
72.724	0.001	10
74.561	0.001	47
74.724	0.001	10
76.561	0.001	47
76.724	0.001	10
78.561	0.001	47
78.724	0.001	10
80.561	0.001	47
80.724	0.001	10
82.561	0.001	47
82.724	0.001	10
84.561	0.001	47
84.724	0.001	10
86.561	0.001	47
86.724	0.001	10
88.561	0.001	47
88.724	0.001	10
90.561	0.001	47
90.724	0.001	10
92.561	0.001	47
92.724	0.001	10
94.561	0.001	47
94.724	0.001	10
96.561	0.001	47
96.724	0.001	10
98.561	0.001	47
98.724	0.001	10
100.561	0.001	47
100.724	0.001	10
102.561	0.001	47
102.724	0.001	10
104.561	0.001	47
104.724	0.001	10
106.561	0.001	47
106.724	0.001	10
108.561	0.001	47
108.724	0.001	10
110.561	0.001	47
110.724	0.001	10
112.561	0.001	47
112.724	0.001	10
114.561	0.001	47
114.724	0.001	10
116.561	0.001	47
116.724	0.001	10
118.561	0.001	47
118.724	0.001	10
120.561	0.001	47
120.724	0.001	10
122.561	0.001	47
122.724	0.001	10
124.561	0.001	47
124.724	0.001	10
126.561	0.001	47
126.724	0.001	10
128.561	0.001	47
128.724	0.001	10
130.561	0.001	47
130.724	0.001	10
132.561	0.001	47
132.724	0.001	10
134.561	0.001	47
134.724	0.001	10
136.561	0.001	47
136.724	0.001	10
138.561	0.001	47
138.724	0.001	10
140.561	0.001	47
140.724	0.001	10
142.561	0.001	47
142.724	0.001	10
144.561	0.001	47
144.724	0.001	10
146.561	0.001	47
146.724	0.001	10
148.165	0.001	768
148.561	0.001	47
148.724	0.001	10
150.561	0.001	47
150.724	0.001	10
152.561	0.001	47
152.724	0.001	10
154.561	0.001	47
154.724	0.001	10
156.561	0.001	47
