onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.602	0.001	265
1.941	0.001	47
2.237	0.001	265
3.941	0.001	47
4.634	0.001	265
5.941	0.001	47
7.1	0.001	265
7.941	0.001	47
9.941	0.001	47
11.941	0.001	47
13.593	0.001	10
13.941	0.001	47
14.897	0.001	265
14.906	0.001	768
15.593	0.001	10
15.941	0.001	47
17.495	0.001	265
17.593	0.001	10
17.941	0.001	47
19.387	0.001	265
19.593	0.001	10
19.941	0.001	47
21.593	0.001	10
21.941	0.001	47
21.983	0.001	265
23.593	0.001	10
23.657	0.001	265
23.941	0.001	47
25.593	0.001	10
25.712	0.001	265
25.941	0.001	47
27.593	0.001	10
27.941	0.001	47
28.414	0.001	265
29.593	0.001	10
29.941	0.001	47
30.988	0.001	265
31.593	0.001	10
31.941	0.001	47
32.796	0.001	265
33.593	0.001	10
33.941	0.001	47
34.516	0.001	265
35.593	0.001	10
35.941	0.001	47
36.248	0.001	265
37.593	0.001	10
37.82	0.001	265
37.941	0.001	47
39.593	0.001	10
39.941	0.001	47
40.197	0.001	265
41.593	0.001	10
41.871	0.001	265
41.941	0.001	47
43.593	0.001	10
43.705	0.001	265
43.941	0.001	47
45.442	0.001	265
45.593	0.001	10
45.941	0.001	47
47.175	0.001	265
47.593	0.001	10
47.941	0.001	47
49.593	0.001	10
49.941	0.001	47
51.593	0.001	10
51.712	0.001	265
51.941	0.001	47
53.545	0.001	265
53.593	0.001	10
53.941	0.001	47
55.593	0.001	10
55.941	0.001	47
57.059	0.001	265
57.593	0.001	10
57.941	0.001	47
58.786	0.001	265
59.593	0.001	10
59.941	0.001	47
60.582	0.001	265
61.593	0.001	10
61.941	0.001	47
63.176	0.001	265
63.593	0.001	10
63.941	0.001	47
65.593	0.001	10
65.941	0.001	47
67.493	0.001	265
67.593	0.001	10
67.941	0.001	47
69.273	0.001	265
69.593	0.001	10
69.941	0.001	47
71.593	0.001	10
71.819	0.001	265
71.941	0.001	47
73.593	0.001	10
73.941	0.001	47
74.361	0.001	265
75.593	0.001	10
75.941	0.001	47
77.008	0.001	265
77.593	0.001	10
77.941	0.001	47
78.737	0.001	265
79.593	0.001	10
79.941	0.001	47
81.382	0.001	265
81.593	0.001	10
81.941	0.001	47
83.228	0.001	265
83.593	0.001	10
83.941	0.001	47
84.845	0.001	265
85.593	0.001	10
85.941	0.001	47
87.593	0.001	10
87.941	0.001	47
88.191	0.001	265
89.593	0.001	10
89.941	0.001	47
90.036	0.001	265
91.593	0.001	10
91.654	0.001	265
91.941	0.001	47
93.339	0.001	265
93.593	0.001	10
93.941	0.001	47
95.593	0.001	10
95.819	0.001	265
95.941	0.001	47
97.593	0.001	10
97.941	0.001	47
99.175	0.001	265
99.593	0.001	10
99.941	0.001	47
101.593	0.001	10
101.941	0.001	47
102.411	0.001	265
103.593	0.001	10
103.941	0.001	47
103.981	0.001	265
105.593	0.001	10
105.941	0.001	47
106.357	0.001	1283
106.413	0.001	265
106.413	0.001	1285
106.857	0.001	34053
107.593	0.001	10
107.941	0.001	47
108.899	0.001	265
109.593	0.001	10
109.941	0.001	47
110.571	0.001	265
111.593	0.001	10
111.941	0.001	47
112.956	0.001	265
113.593	0.001	10
