onset	duration	trial_type
0.001	0.001	1
0.001	0.001	47
0.001	0.001	1283
0.441	0.001	47
0.578	0.001	1285
0.578	0.001	265
1.501	0.001	34053
2.441	0.001	47
4.441	0.001	47
6.441	0.001	47
8.441	0.001	47
10.441	0.001	47
12.441	0.001	47
14.441	0.001	47
16.262	0.001	10
16.441	0.001	47
17.397	0.001	768
18.262	0.001	10
18.441	0.001	47
20.262	0.001	10
20.441	0.001	47
22.262	0.001	10
22.441	0.001	47
24.262	0.001	10
24.441	0.001	47
26.262	0.001	10
26.441	0.001	47
28.262	0.001	10
28.441	0.001	47
30.262	0.001	10
30.441	0.001	47
32.262	0.001	10
32.441	0.001	47
34.262	0.001	10
34.441	0.001	47
36.262	0.001	10
36.441	0.001	47
38.262	0.001	10
38.441	0.001	47
40.262	0.001	10
40.441	0.001	47
42.262	0.001	10
42.441	0.001	47
44.262	0.001	10
44.441	0.001	47
46.262	0.001	10
46.441	0.001	47
48.262	0.001	10
48.441	0.001	47
50.262	0.001	10
50.441	0.001	47
52.262	0.001	10
52.441	0.001	47
54.262	0.001	10
54.441	0.001	47
56.262	0.001	10
56.441	0.001	47
58.262	0.001	10
58.441	0.001	47
60.262	0.001	10
60.441	0.001	47
62.262	0.001	10
62.441	0.001	47
64.262	0.001	10
64.441	0.001	47
66.262	0.001	10
66.441	0.001	47
68.262	0.001	10
68.441	0.001	47
70.262	0.001	10
70.441	0.001	47
72.262	0.001	10
72.441	0.001	47
74.262	0.001	10
74.441	0.001	47
76.262	0.001	10
76.441	0.001	47
78.262	0.001	10
78.441	0.001	47
80.262	0.001	10
80.441	0.001	47
82.262	0.001	10
82.441	0.001	47
84.262	0.001	10
84.441	0.001	47
86.262	0.001	10
86.441	0.001	47
88.262	0.001	10
88.441	0.001	47
90.262	0.001	10
90.441	0.001	47
92.262	0.001	10
92.441	0.001	47
94.262	0.001	10
94.441	0.001	47
96.262	0.001	10
96.441	0.001	47
98.262	0.001	10
98.441	0.001	47
100.262	0.001	10
100.441	0.001	47
102.262	0.001	10
102.441	0.001	47
104.262	0.001	10
104.441	0.001	47
106.262	0.001	10
106.441	0.001	47
108.262	0.001	10
108.441	0.001	47
110.262	0.001	10
110.441	0.001	47
112.262	0.001	10
112.441	0.001	47
114.262	0.001	10
114.441	0.001	47
116.262	0.001	10
116.441	0.001	47
118.262	0.001	10
118.441	0.001	47
120.262	0.001	10
120.441	0.001	47
122.262	0.001	10
122.441	0.001	47
124.262	0.001	10
124.441	0.001	47
126.262	0.001	10
126.441	0.001	47
128.262	0.001	10
128.441	0.001	47
130.262	0.001	10
130.441	0.001	47
132.262	0.001	10
132.441	0.001	47
134.262	0.001	10
134.441	0.001	47
136.262	0.001	10
136.441	0.001	47
138.262	0.001	10
138.441	0.001	47
140.262	0.001	10
140.441	0.001	47
142.262	0.001	10
142.441	0.001	47
144.262	0.001	10
144.441	0.001	47
146.262	0.001	10
146.441	0.001	47
148.262	0.001	10
148.441	0.001	47
150.262	0.001	10
150.441	0.001	47
152.262	0.001	10
152.441	0.001	47
154.262	0.001	10
154.441	0.001	47
156.262	0.001	10
156.441	0.001	47
158.262	0.001	10
158.441	0.001	47
160.262	0.001	10
160.441	0.001	47
